Id,Label,type,difficulty,modularity_class,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,clustering,triangles,eigencentrality
Dice Roll Simulation,Dice Roll Simulation,Problem,Hard,43,0,2,2,6,0.380009,0.42038,390.906154,0,0,0,0.021525
Capacity To Ship Packages Within D Days,Capacity To Ship Packages Within D Days,Problem,Medium,81,0,2,2,6,0.363636,0.406137,0,0,1,1,0.019547
Make String Anti-palindrome,Make String Anti-palindrome,Problem,Hard,81,0,4,4,6,0.317952,0.357048,887.229526,0,0,0,0.0142
Calculate Salaries,Calculate Salaries,Problem,Medium,4,0,1,1,2,0.500808,0.501613,0,1,0,0,0.001788
Count Beautiful Numbers,Count Beautiful Numbers,Problem,Hard,43,0,1,1,6,0.275496,0.29657,0,0,0,0,0.004909
Kth Smallest Amount With Single Denomination Combination,Kth Smallest Amount With Single Denomination Combination,Problem,Hard,76,0,6,6,6,0.396583,0.435133,1861.369223,0,0.066667,1,0.028
Binary Tree,Binary Tree,Tag,,55,178,0,178,5,0.344229,0.367371,55690.609116,0,0,0,0.054245
Design Compressed String Iterator,Design Compressed String Iterator,Problem,Easy,34,0,4,4,6,0.419501,0.451795,2579.616507,0,0,0,0.024082
Find Cumulative Salary of an Employee,Find Cumulative Salary of an Employee,Problem,Hard,4,0,1,1,2,0.500808,0.501613,0,1,0,0,0.001788
Delete Leaves With a Given Value,Delete Leaves With a Given Value,Problem,Medium,55,0,3,3,5,0.265543,0.279323,13.625103,0,0,0,0.005642
Largest 3-Same-Digit Number in String,Largest 3-Same-Digit Number in String,Problem,Easy,42,0,1,1,6,0.285529,0.312283,0,0,0,0,0.006146
Maximum Manhattan Distance After K Changes,Maximum Manhattan Distance After K Changes,Problem,Medium,73,0,4,4,6,0.34153,0.384155,1683.782629,0,0,0,0.019008
Find a Corresponding Node of a Binary Tree in a Clone of That Tree,Find a Corresponding Node of a Binary Tree in a Clone of That Tree,Problem,Easy,55,0,4,4,5,0.268248,0.284188,63.48951,0,0,0,0.007574
Execution of All Suffix Instructions Staying in a Grid,Execution of All Suffix Instructions Staying in a Grid,Problem,Medium,86,0,2,2,6,0.292926,0.323455,170.077841,0,0,0,0.00777
Maximum Array Hopping Score II,Maximum Array Hopping Score II,Problem,Medium,42,0,4,4,6,0.377973,0.418844,616.254314,0,0,0,0.02233
Task Scheduler,Task Scheduler,Problem,Medium,81,0,6,6,6,0.396494,0.434623,1253.866414,0,0,0,0.034278
Sum of Subarray Minimums,Sum of Subarray Minimums,Problem,Medium,42,0,4,4,6,0.387394,0.426899,922.595508,0,0,0,0.023636
Longest Well-Performing Interval,Longest Well-Performing Interval,Problem,Medium,42,0,5,5,6,0.391044,0.430088,967.582745,0,0,0,0.027069
Check if Two Chessboard Squares Have the Same Color,Check if Two Chessboard Squares Have the Same Color,Problem,Easy,76,0,2,2,6,0.314439,0.352419,812.944447,0,0,0,0.010932
Binary Tree Upside Down,Binary Tree Upside Down,Problem,Medium,55,0,3,3,5,0.265543,0.279323,13.625103,0,0,0,0.005642
Remove K Digits,Remove K Digits,Problem,Medium,42,0,4,4,6,0.307639,0.344,576.945702,0,0,0,0.01186
Longest Happy Prefix,Longest Happy Prefix,Problem,Hard,42,0,4,4,6,0.286271,0.313771,101.59534,0,0,0,0.007418
Reachable Nodes In Subdivided Graph,Reachable Nodes In Subdivided Graph,Problem,Hard,55,0,3,3,6,0.263914,0.276696,51.480474,0,0,0,0.003603
Maximum Area Rectangle With Point Constraints II,Maximum Area Rectangle With Point Constraints II,Problem,Hard,34,0,6,6,6,0.395604,0.434023,1607.129179,0,0,0,0.027342
Walls and Gates,Walls and Gates,Problem,Medium,73,0,3,3,5,0.372939,0.413827,653.132016,0,0,0,0.020805
Reduce Array Size to The Half,Reduce Array Size to The Half,Problem,Medium,81,0,5,5,6,0.395693,0.433867,1046.129729,0,0,0,0.032571
Friends With No Mutual Friends,Friends With No Mutual Friends,Problem,Medium,4,0,1,1,2,0.500808,0.501613,0,1,0,0,0.001788
Number of Same-End Substrings,Number of Same-End Substrings,Problem,Medium,73,0,5,5,6,0.422717,0.454157,2317.74095,0,0,0,0.032812
Shuffle String,Shuffle String,Problem,Easy,42,0,2,2,6,0.414279,0.447732,1305.8745,0,0,0,0.022763
Minimum Operations to Reach Target Array,Minimum Operations to Reach Target Array,Problem,Medium,81,0,3,3,6,0.391218,0.429993,583.761849,0,0,0,0.026589
Minimum Operations to Reduce X to Zero,Minimum Operations to Reduce X to Zero,Problem,Medium,73,0,5,5,6,0.386927,0.427183,624.271575,0,0.1,1,0.029266
Largest Values From Labels,Largest Values From Labels,Problem,Medium,73,0,5,5,6,0.394366,0.432804,938.494495,0,0,0,0.032498
Equal Row and Column Pairs,Equal Row and Column Pairs,Problem,Medium,86,0,4,4,6,0.387352,0.426875,656.986473,0,0,0,0.026867
Longest Nice Subarray,Longest Nice Subarray,Problem,Medium,73,0,3,3,6,0.371486,0.41301,372.944728,0,0,0,0.020199
